서명,저자,출판사,발행년,자료유형,소장처
한국기독교사회운동사2,강성호,한국기독교교회협의회,2024,단행본,중앙도서관 [ ]정리중
한국기독교사회운동사3,강성호,한국기독교교회협의회,2024,단행본,중앙도서관 [ ]정리중
"게임이론, 외교사 및 안보학",Frank C. Zagare,국방대학교 국가안전보장문제연구소,2024,단행본,중앙도서관 [ ]정리중
현대전쟁 : 아주 간략한 개론,Richard English,국방대학교 국가안전보장문제연구소,2024,단행본,중앙도서관 [ ]정리중
정보통신 선진화 30년 시리즈1 : 전 국민 자동전화공급 조기완성,이정욱,도서출판 홍릉,2024,단행본,중앙도서관 [ ]정리중
정보통신 선진화 30년 시리즈2 : 초고속 정보통신 시대의 실현,이정욱,도서출판 홍릉,2024,단행본,중앙도서관 [ ]정리중
정보통신 선진화 30년 시리즈3 : 21세기를 위한 차세대 정보통신,이정욱,도서출판 홍릉,2024,단행본,중앙도서관 [ ]정리중
입중론일광소3,이씨펑춰 켄포,문진,2024,단행본,중앙도서관 [ ]정리중
까르마 업보윤회사상의 기원과 전개,요하네스 브롱코스트,운주사,2024,단행본,중앙도서관 [ ]정리중
불교외 과학 불교의 지혜와 서양의 과학이 만나다,앨런 윌리스,운주사,2024,단행본,중앙도서관 [ ]정리중
선과 유식 깨달음의 구조,다케무라 마키오,운주사,2024,단행본,중앙도서관 [ ]정리중
무에 대한 탐구 불교와 비평이론,마커스 분,운주사,2024,단행본,중앙도서관 [ ]정리중
불교윤리학 입문,데미언 키온,운주사,2024,단행본,중앙도서관 [ ]정리중
플랫폼 독점규제 입법의 주요 쟁점,이봉의,박영사,2025,단행본,법학전문도서관/단행본서가/ [ ]정리중
(新) 민법강의 / 제18판,송덕수,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
民法講義 / 제22판,지원림,弘文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
상법강의. 하 / 제24판,정찬형,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
"로마인들의 지혜, 로마법의 법격언",한동일,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
채무자회생법 / 제9판,전대규,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
"도산, 일상으로의 회복 / 제3판",전대규,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
